OrigRowNum,TableType,Topic,Question,TableSection,SectionOrder,RowType,Question_2021,Qnum2018,Topic2018,TblCol_1,TblCol_2,TblCol_3,TblCol_4,TblCol_5,TblCol_6,TblCol_7,TblCol_8,TblCol_9,TblCol_10,TblCol_11,TblCol_12,TblCol_13,TblCol_14,TblCol_15,TblCol_16,TblCol_17,TblCol_18,TblCol_19,TblCol_20
2813,Closed End,Health,Q23_21,Race / ethnicity,1,Header,Q23B_21,Q23_18,Health,Results by race/ethnicity:,,,,,,,,,,,,,,,,,,,
2814,Closed End,Health,Q23_21,Race / ethnicity,2,Data,Q23B_21,Q23_18,Health,   BIPOC,20%,80%,785,,,,,,,,,,,,,,,,
2815,Closed End,Health,Q23_21,Race / ethnicity,3,Data,Q23B_21,Q23_18,Health,      "American Indian, Native American, or Alaska Native",24%,76%,130,,,,,,,,,,,,,,,,
2816,Closed End,Health,Q23_21,Race / ethnicity,4,Data,Q23B_21,Q23_18,Health,      Asian American or Asian,22%,78%,217,,,,,,,,,,,,,,,,
2817,Closed End,Health,Q23_21,Race / ethnicity,5,Data,Q23B_21,Q23_18,Health,      "Black, African American, or African",13%,87%,356,,,,,,,,,,,,,,,,
2818,Closed End,Health,Q23_21,Race / ethnicity,6,Data,Q23B_21,Q23_18,Health,      Latino/a or Hispanic,25%,75%,141,,,,,,,,,,,,,,,,
2819,Closed End,Health,Q23_21,Race / ethnicity,7,Data,Q23B_21,Q23_18,Health,   White or Caucasian alone,14%,86%,2085,,,,,,,,,,,,,,,,
2820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821,Closed End,Health,Q24_21,Title,1,Title,Q23C_21,Q24_18,Health,23C. Was there any time during the past 12 months when you waited longer than you wanted to or didn't seek care at all because you could not afford it for problems with your teeth or gums?,,,,,,,,,,,,,,,,,,,
2822,Closed End,Health,Q24_21,Column labels,1,Labels,Q23C_21,Q24_18,Health,,Yes,No,Number of respondents (unweighted),,,,,,,,,,,,,,,,
2823,Closed End,Health,Q24_21,Region,1,Header,Q23C_21,Q24_18,Health,Results by region:,,,,,,,,,,,,,,,,,,,
2824,Closed End,Health,Q24_21,Region,2,Data,Q23C_21,Q24_18,Health,   East Metro overall,19%,81%,3104,,,,,,,,,,,,,,,,
2825,Closed End,Health,Q24_21,Region,3,Data,Q23C_21,Q24_18,Health,   Dakota County,13%,87%,420,,,,,,,,,,,,,,,,
2826,Closed End,Health,Q24_21,Region,4,Data,Q23C_21,Q24_18,Health,   Ramsey County (overall),25%,75%,2280,,,,,,,,,,,,,,,,
2827,Closed End,Health,Q24_21,Region,5,Data,Q23C_21,Q24_18,Health,      City of Saint Paul,27%,73%,1847,,,,,,,,,,,,,,,,
2828,Closed End,Health,Q24_21,Region,6,Data,Q23C_21,Q24_18,Health,      Suburban Ramsey County,21%,79%,433,,,,,,,,,,,,,,,,
2829,Closed End,Health,Q24_21,Region,7,Data,Q23C_21,Q24_18,Health,   Washington County,17%,83%,404,,,,,,,,,,,,,,,,
2830,Closed End,Health,Q24_21,Gender,1,Header,Q23C_21,Q24_18,Health,Results by gender:,,,,,,,,,,,,,,,,,,,
2831,Closed End,Health,Q24_21,Gender,2,Data,Q23C_21,Q24_18,Health,   Females,21%,79%,1934,,,,,,,,,,,,,,,,
2832,Closed End,Health,Q24_21,Gender,3,Data,Q23C_21,Q24_18,Health,   Males,17%,83%,1013,,,,,,,,,,,,,,,,
2833,Closed End,Health,Q24_21,Age,1,Header,Q23C_21,Q24_18,Health,Results by age:,,,,,,,,,,,,,,,,,,,
2834,Closed End,Health,Q24_21,Age,2,Data,Q23C_21,Q24_18,Health,   18-34,21%,79%,417,,,,,,,,,,,,,,,,
2835,Closed End,Health,Q24_21,Age,3,Data,Q23C_21,Q24_18,Health,   35-44,21%,79%,427,,,,,,,,,,,,,,,,
2836,Closed End,Health,Q24_21,Age,4,Data,Q23C_21,Q24_18,Health,   45-54,16%,84%,370,,,,,,,,,,,,,,,,
2837,Closed End,Health,Q24_21,Age,5,Data,Q23C_21,Q24_18,Health,   55-64,22%,78%,529,,,,,,,,,,,,,,,,
2838,Closed End,Health,Q24_21,Age,6,Data,Q23C_21,Q24_18,Health,   65+,11%,89%,884,,,,,,,,,,,,,,,,
2839,Closed End,Health,Q24_21,Education,1,Header,Q23C_21,Q24_18,Health,Results by education level:,,,,,,,,,,,,,,,,,,,
2840,Closed End,Health,Q24_21,Education,2,Data,Q23C_21,Q24_18,Health,   "Less than HS diploma, no GED",46%,54%,103,,,,,,,,,,,,,,,,
2841,Closed End,Health,Q24_21,Education,3,Data,Q23C_21,Q24_18,Health,   HS diploma or GED,26%,74%,374,,,,,,,,,,,,,,,,
2842,Closed End,Health,Q24_21,Education,4,Data,Q23C_21,Q24_18,Health,   "Some college, trade school, or Associate degree",19%,81%,991,,,,,,,,,,,,,,,,
2843,Closed End,Health,Q24_21,Education,5,Data,Q23C_21,Q24_18,Health,   Bachelor's degree or higher,14%,86%,1532,,,,,,,,,,,,,,,,
2844,Closed End,Health,Q24_21,Household income,1,Header,Q23C_21,Q24_18,Health,Results by household income:,,,,,,,,,,,,,,,,,,,
2845,Closed End,Health,Q24_21,Household income,2,Data,Q23C_21,Q24_18,Health,   "Less than $20,000",47%,53%,502,,,,,,,,,,,,,,,,
2846,Closed End,Health,Q24_21,Household income,3,Data,Q23C_21,Q24_18,Health,   "$20,000 to $39,999",33%,67%,437,,,,,,,,,,,,,,,,
2847,Closed End,Health,Q24_21,Household income,4,Data,Q23C_21,Q24_18,Health,   "$40,000 to $59,999",24%,76%,409,,,,,,,,,,,,,,,,
2848,Closed End,Health,Q24_21,Household income,5,Data,Q23C_21,Q24_18,Health,   "$60,000 to $79,999",23%,77%,315,,,,,,,,,,,,,,,,
2849,Closed End,Health,Q24_21,Household income,6,Data,Q23C_21,Q24_18,Health,   "$80,000 to $99,999",17%,83%,274,,,,,,,,,,,,,,,,
2850,Closed End,Health,Q24_21,Household income,7,Data,Q23C_21,Q24_18,Health,   "$100,000 to $149,999",10%,90%,343,,,,,,,,,,,,,,,,
2851,Closed End,Health,Q24_21,Household income,8,Data,Q23C_21,Q24_18,Health,   "$150,000 or more",8%,92%,262,,,,,,,,,,,,,,,,
2852,Closed End,Health,Q24_21,Housing status,1,Header,Q23C_21,Q24_18,Health,Results by housing status:,,,,,,,,,,,,,,,,,,,
2853,Closed End,Health,Q24_21,Housing status,2,Data,Q23C_21,Q24_18,Health,   Owner,14%,86%,1994,,,,,,,,,,,,,,,,
2854,Closed End,Health,Q24_21,Housing status,3,Data,Q23C_21,Q24_18,Health,   Renter,33%,67%,1026,,,,,,,,,,,,,,,,
2855,Closed End,Health,Q24_21,Housing status,4,Data,Q23C_21,Q24_18,Health,   "Lives with family or friends, homeless, or some other arrangement",28%,72%,70,,,,,,,,,,,,,,,,
2856,Closed End,Health,Q24_21,Home language,1,Header,Q23C_21,Q24_18,Health,Results by home language:,,,,,,,,,,,,,,,,,,,
2857,Closed End,Health,Q24_21,Home language,2,Data,Q23C_21,Q24_18,Health,   English only,17%,83%,2647,,,,,,,,,,,,,,,,
2858,Closed End,Health,Q24_21,Home language,3,Data,Q23C_21,Q24_18,Health,   English plus another language,33%,67%,249,,,,,,,,,,,,,,,,
2859,Closed End,Health,Q24_21,Home language,4,Data,Q23C_21,Q24_18,Health,   Another language only,29%,71%,108,,,,,,,,,,,,,,,,
2860,Closed End,Health,Q24_21,Race / ethnicity,1,Header,Q23C_21,Q24_18,Health,Results by race/ethnicity:,,,,,,,,,,,,,,,,,,,
2861,Closed End,Health,Q24_21,Race / ethnicity,2,Data,Q23C_21,Q24_18,Health,   BIPOC,30%,70%,787,,,,,,,,,,,,,,,,
2862,Closed End,Health,Q24_21,Race / ethnicity,3,Data,Q23C_21,Q24_18,Health,      "American Indian, Native American, or Alaska Native",38%,62%,131,,,,,,,,,,,,,,,,
2863,Closed End,Health,Q24_21,Race / ethnicity,4,Data,Q23C_21,Q24_18,Health,      Asian American or Asian,29%,71%,217,,,,,,,,,,,,,,,,
2864,Closed End,Health,Q24_21,Race / ethnicity,5,Data,Q23C_21,Q24_18,Health,      "Black, African American, or African",30%,70%,356,,,,,,,,,,,,,,,,
2865,Closed End,Health,Q24_21,Race / ethnicity,6,Data,Q23C_21,Q24_18,Health,      Latino/a or Hispanic,29%,71%,142,,,,,,,,,,,,,,,,
2866,Closed End,Health,Q24_21,Race / ethnicity,7,Data,Q23C_21,Q24_18,Health,   White or Caucasian alone,16%,84%,2091,,,,,,,,,,,,,,,,
2867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2868,Closed End,Economic opportunity and security,Q26_21,Title,1,Title,Q24_21,Q26_18,Economic opportunity and security,"Right now, is there anything that is making it hard for you to get a job or find a better job?",,,,,,,,,,,,,,,,,,,
2869,Closed End,Economic opportunity and security,Q26_21,Column labels,1,Labels,Q24_21,Q26_18,Economic opportunity and security,,Yes,"No, I am satisfied with my current job","No, I am not currently employed or in the job market (e.g., retired, full-time student or parent, disabled, etc.)",Number of respondents (unweighted),,,,,,,,,,,,,,,
2870,Closed End,Economic opportunity and security,Q26_21,Region,1,Header,Q24_21,Q26_18,Economic opportunity and security,Results by region:,,,,,,,,,,,,,,,,,,,
2871,Closed End,Economic opportunity and security,Q26_21,Region,2,Data,Q24_21,Q26_18,Economic opportunity and security,   East Metro overall,15%,60%,26%,3073,,,,,,,,,,,,,,,
2872,Closed End,Economic opportunity and security,Q26_21,Region,3,Data,Q24_21,Q26_18,Economic opportunity and security,   Dakota County,11%,66%,23%,422,,,,,,,,,,,,,,,
2873,Closed End,Economic opportunity and security,Q26_21,Region,4,Data,Q24_21,Q26_18,Economic opportunity and security,   Ramsey County (overall),19%,54%,27%,2253,,,,,,,,,,,,,,,
2874,Closed End,Economic opportunity and security,Q26_21,Region,5,Data,Q24_21,Q26_18,Economic opportunity and security,      City of Saint Paul,22%,56%,22%,1823,,,,,,,,,,,,,,,
2875,Closed End,Economic opportunity and security,Q26_21,Region,6,Data,Q24_21,Q26_18,Economic opportunity and security,      Suburban Ramsey County,16%,53%,32%,430,,,,,,,,,,,,,,,
2876,Closed End,Economic opportunity and security,Q26_21,Region,7,Data,Q24_21,Q26_18,Economic opportunity and security,   Washington County,13%,61%,26%,398,,,,,,,,,,,,,,,
2877,Closed End,Economic opportunity and security,Q26_21,Gender,1,Header,Q24_21,Q26_18,Economic opportunity and security,Results by gender:,,,,,,,,,,,,,,,,,,,
2878,Closed End,Economic opportunity and security,Q26_21,Gender,2,Data,Q24_21,Q26_18,Economic opportunity and security,   Females,14%,58%,28%,1911,,,,,,,,,,,,,,,
2879,Closed End,Economic opportunity and security,Q26_21,Gender,3,Data,Q24_21,Q26_18,Economic opportunity and security,   Males,14%,62%,24%,1010,,,,,,,,,,,,,,,
2880,Closed End,Economic opportunity and security,Q26_21,Age,1,Header,Q24_21,Q26_18,Economic opportunity and security,Results by age:,,,,,,,,,,,,,,,,,,,
2881,Closed End,Economic opportunity and security,Q26_21,Age,2,Data,Q24_21,Q26_18,Economic opportunity and security,   18-34,19%,75%,7%,416,,,,,,,,,,,,,,,
2882,Closed End,Economic opportunity and security,Q26_21,Age,3,Data,Q24_21,Q26_18,Economic opportunity and security,   35-44,18%,75%,7%,427,,,,,,,,,,,,,,,
2883,Closed End,Economic opportunity and security,Q26_21,Age,4,Data,Q24_21,Q26_18,Economic opportunity and security,   45-54,17%,73%,10%,365,,,,,,,,,,,,,,,
2884,Closed End,Economic opportunity and security,Q26_21,Age,5,Data,Q24_21,Q26_18,Economic opportunity and security,   55-64,11%,56%,33%,525,,,,,,,,,,,,,,,
2885,Closed End,Economic opportunity and security,Q26_21,Age,6,Data,Q24_21,Q26_18,Economic opportunity and security,   65+,5%,19%,76%,876,,,,,,,,,,,,,,,
2886,Closed End,Economic opportunity and security,Q26_21,Education,1,Header,Q24_21,Q26_18,Economic opportunity and security,Results by education level:,,,,,,,,,,,,,,,,,,,
2887,Closed End,Economic opportunity and security,Q26_21,Education,2,Data,Q24_21,Q26_18,Economic opportunity and security,   "Less than HS diploma, no GED",27%,29%,44%,99,,,,,,,,,,,,,,,
2888,Closed End,Economic opportunity and security,Q26_21,Education,3,Data,Q24_21,Q26_18,Economic opportunity and security,   HS diploma or GED,15%,40%,44%,373,,,,,,,,,,,,,,,
2889,Closed End,Economic opportunity and security,Q26_21,Education,4,Data,Q24_21,Q26_18,Economic opportunity and security,   "Some college, trade school, or Associate degree",15%,56%,29%,979,,,,,,,,,,,,,,,
2890,Closed End,Economic opportunity and security,Q26_21,Education,5,Data,Q24_21,Q26_18,Economic opportunity and security,   Bachelor's degree or higher,13%,75%,12%,1522,,,,,,,,,,,,,,,
2891,Closed End,Economic opportunity and security,Q26_21,Household income,1,Header,Q24_21,Q26_18,Economic opportunity and security,Results by household income:,,,,,,,,,,,,,,,,,,,
2892,Closed End,Economic opportunity and security,Q26_21,Household income,2,Data,Q24_21,Q26_18,Economic opportunity and security,   "Less than $20,000",29%,15%,56%,492,,,,,,,,,,,,,,,
2893,Closed End,Economic opportunity and security,Q26_21,Household income,3,Data,Q24_21,Q26_18,Economic opportunity and security,   "$20,000 to $39,999",32%,35%,34%,435,,,,,,,,,,,,,,,
2894,Closed End,Economic opportunity and security,Q26_21,Household income,4,Data,Q24_21,Q26_18,Economic opportunity and security,   "$40,000 to $59,999",24%,49%,26%,406,,,,,,,,,,,,,,,
2895,Closed End,Economic opportunity and security,Q26_21,Household income,5,Data,Q24_21,Q26_18,Economic opportunity and security,   "$60,000 to $79,999",17%,56%,27%,313,,,,,,,,,,,,,,,
2896,Closed End,Economic opportunity and security,Q26_21,Household income,6,Data,Q24_21,Q26_18,Economic opportunity and security,   "$80,000 to $99,999",11%,70%,19%,272,,,,,,,,,,,,,,,
2897,Closed End,Economic opportunity and security,Q26_21,Household income,7,Data,Q24_21,Q26_18,Economic opportunity and security,   "$100,000 to $149,999",6%,81%,13%,341,,,,,,,,,,,,,,,
2898,Closed End,Economic opportunity and security,Q26_21,Household income,8,Data,Q24_21,Q26_18,Economic opportunity and security,   "$150,000 or more",6%,81%,13%,259,,,,,,,,,,,,,,,
2899,Closed End,Economic opportunity and security,Q26_21,Housing status,1,Header,Q24_21,Q26_18,Economic opportunity and security,Results by housing status:,,,,,,,,,,,,,,,,,,,
2900,Closed End,Economic opportunity and security,Q26_21,Housing status,2,Data,Q24_21,Q26_18,Economic opportunity and security,   Owner,12%,62%,26%,1984,,,,,,,,,,,,,,,
2901,Closed End,Economic opportunity and security,Q26_21,Housing status,3,Data,Q24_21,Q26_18,Economic opportunity and security,   Renter,23%,52%,25%,1006,,,,,,,,,,,,,,,
2902,Closed End,Economic opportunity and security,Q26_21,Housing status,4,Data,Q24_21,Q26_18,Economic opportunity and security,   "Lives with family or friends, homeless, or some other arrangement",25%,53%,22%,69,,,,,,,,,,,,,,,
2903,Closed End,Economic opportunity and security,Q26_21,Home language,1,Header,Q24_21,Q26_18,Economic opportunity and security,Results by home language:,,,,,,,,,,,,,,,,,,,
2904,Closed End,Economic opportunity and security,Q26_21,Home language,2,Data,Q24_21,Q26_18,Economic opportunity and security,   English only,13%,60%,28%,2625,,,,,,,,,,,,,,,
2905,Closed End,Economic opportunity and security,Q26_21,Home language,3,Data,Q24_21,Q26_18,Economic opportunity and security,   English plus another language,29%,60%,11%,249,,,,,,,,,,,,,,,
2906,Closed End,Economic opportunity and security,Q26_21,Home language,4,Data,Q24_21,Q26_18,Economic opportunity and security,   Another language only,32%,44%,23%,105,,,,,,,,,,,,,,,
2907,Closed End,Economic opportunity and security,Q26_21,Race / ethnicity,1,Header,Q24_21,Q26_18,Economic opportunity and security,Results by race/ethnicity:,,,,,,,,,,,,,,,,,,,
2908,Closed End,Economic opportunity and security,Q26_21,Race / ethnicity,2,Data,Q24_21,Q26_18,Economic opportunity and security,   BIPOC,26%,59%,15%,772,,,,,,,,,,,,,,,
2909,Closed End,Economic opportunity and security,Q26_21,Race / ethnicity,3,Data,Q24_21,Q26_18,Economic opportunity and security,      "American Indian, Native American, or Alaska Native",41%,36%,23%,127,,,,,,,,,,,,,,,
2910,Closed End,Economic opportunity and security,Q26_21,Race / ethnicity,4,Data,Q24_21,Q26_18,Economic opportunity and security,      Asian American or Asian,29%,55%,15%,214,,,,,,,,,,,,,,,
2911,Closed End,Economic opportunity and security,Q26_21,Race / ethnicity,5,Data,Q24_21,Q26_18,Economic opportunity and security,      "Black, African American, or African",24%,60%,17%,349,,,,,,,,,,,,,,,
2912,Closed End,Economic opportunity and security,Q26_21,Race / ethnicity,6,Data,Q24_21,Q26_18,Economic opportunity and security,      Latino/a or Hispanic,23%,66%,12%,137,,,,,,,,,,,,,,,
2913,Closed End,Economic opportunity and security,Q26_21,Race / ethnicity,7,Data,Q24_21,Q26_18,Economic opportunity and security,   White or Caucasian alone,12%,59%,29%,2082,,,,,,,,,,,,,,,
2914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2915,Closed End,Economic opportunity and security,Q27_21,Title,1,Title,Q25_21,Q27_18,Economic opportunity and security,25. If there is something making it hard for you to get a job or find a better job,
what are the top three barriers you face?",,,,,,,,,,,,,,,,,,,
2916,Closed End,Economic opportunity and security,Q27_21,Column labels,1,Labels,Q25_21,Q27_18,Economic opportunity and security,,Transportation,Housing,Child care,Need more / better education or skills,Economy / jobs in general,Don't know where / how to look for a job,Language barrier,No work experience or not enough work experience,Lack of resources needed to look for a job,Criminal background,Discrimination by employers,Physical or mental health problems due to COVID-19,Physical or mental health problems not due to COVID-19,Other,Number of respondents (unweighted),,,,
2917,Closed End,Economic opportunity and security,Q27_21,Region,1,Header,Q25_21,Q27_18,Economic opportunity and security,Results by region:,,,,,,,,,,,,,,,,,,,
2918,Closed End,Economic opportunity and security,Q27_21,Region,2,Data,Q25_21,Q27_18,Economic opportunity and security,   East Metro overall,18%,3%,23%,41%,49%,10%,2%,15%,5%,3%,18%,5%,16%,7%,546,,,,
2919,Closed End,Economic opportunity and security,Q27_21,Region,3,Data,Q25_21,Q27_18,Economic opportunity and security,   Dakota County,14%,<.5%,26%,39%,51%,7%,1%,9%,2%,0%,14%,3%,14%,11%,49,,,,
2920,Closed End,Economic opportunity and security,Q27_21,Region,4,Data,Q25_21,Q27_18,Economic opportunity and security,   Ramsey County (overall),20%,5%,20%,42%,51%,10%,3%,18%,7%,5%,18%,7%,17%,5%,455,,,,
2921,Closed End,Economic opportunity and security,Q27_21,Region,5,Data,Q25_21,Q27_18,Economic opportunity and security,      City of Saint Paul,25%,8%,21%,43%,47%,11%,5%,18%,9%,9%,15%,10%,22%,6%,410,,,,
2922,Closed End,Economic opportunity and security,Q27_21,Region,6,Data,Q25_21,Q27_18,Economic opportunity and security,      Suburban Ramsey County,12%,0%,19%,40%,58%,8%,0%,20%,4%,0%,24%,1%,9%,4%,45,,,,
2923,Closed End,Economic opportunity and security,Q27_21,Region,7,Data,Q25_21,Q27_18,Economic opportunity and security,   Washington County,15%,0%,28%,40%,41%,14%,2%,12%,5%,0%,19%,2%,15%,6%,42,,,,
2924,Closed End,Economic opportunity and security,Q27_21,Gender,1,Header,Q25_21,Q27_18,Economic opportunity and security,Results by gender:,,,,,,,,,,,,,,,,,,,
2925,Closed End,Economic opportunity and security,Q27_21,Gender,2,Data,Q25_21,Q27_18,Economic opportunity and security,   Females,18%,3%,25%,43%,49%,10%,2%,20%,4%,2%,9%,6%,12%,7%,327,,,,
2926,Closed End,Economic opportunity and security,Q27_21,Gender,3,Data,Q25_21,Q27_18,Economic opportunity and security,   Males,21%,3%,22%,41%,54%,11%,3%,8%,7%,5%,22%,3%,17%,8%,182,,,,
2927,Closed End,Economic opportunity and security,Q27_21,Age,1,Header,Q25_21,Q27_18,Economic opportunity and security,Results by age:,,,,,,,,,,,,,,,,,,,
2928,Closed End,Economic opportunity and security,Q27_21,Age,2,Data,Q25_21,Q27_18,Economic opportunity and security,   18-34,16%,3%,39%,50%,56%,6%,1%,31%,3%,4%,7%,6%,7%,5%,116,,,,
2929,Closed End,Economic opportunity and security,Q27_21,Age,3,Data,Q25_21,Q27_18,Economic opportunity and security,   35-44,16%,5%,31%,61%,48%,15%,2%,13%,2%,1%,17%,6%,8%,2%,102,,,,
2930,Closed End,Economic opportunity and security,Q27_21,Age,4,Data,Q25_21,Q27_18,Economic opportunity and security,   45-54,11%,1%,18%,20%,73%,10%,1%,4%,3%,3%,8%,<.5%,11%,11%,86,,,,
2931,Closed End,Economic opportunity and security,Q27_21,Age,5,Data,Q25_21,Q27_18,Economic opportunity and security,   55-64,30%,5%,2%,31%,35%,7%,11%,5%,23%,4%,35%,3%,27%,14%,97,,,,
2932,Closed End,Economic opportunity and security,Q27_21,Age,6,Data,Q25_21,Q27_18,Economic opportunity and security,   65+,45%,1%,1%,11%,16%,6%,3%,2%,4%,1%,32%,6%,51%,7%,60,,,,
2933,Closed End,Economic opportunity and security,Q27_21,Education,1,Header,Q25_21,Q27_18,Economic opportunity and security,Results by education level:,,,,,,,,,,,,,,,,,,,
2934,Closed End,Economic opportunity and security,Q27_21,Education,2,Data,Q25_21,Q27_18,Economic opportunity and security,   "Less than HS diploma, no GED",22%,5%,19%,84%,44%,38%,10%,7%,6%,7%,23%,11%,25%,0%,25,,,,
2935,Closed End,Economic opportunity and security,Q27_21,Education,3,Data,Q25_21,Q27_18,Economic opportunity and security,   HS diploma or GED,35%,7%,24%,38%,35%,6%,5%,12%,6%,5%,2%,9%,33%,4%,80,,,,
2936,Closed End,Economic opportunity and security,Q27_21,Education,4,Data,Q25_21,Q27_18,Economic opportunity and security,   "Some college, trade school, or Associate degree",19%,3%,32%,52%,43%,7%,1%,15%,10%,4%,17%,4%,15%,5%,192,,,,
2937,Closed End,Economic opportunity and security,Q27_21,Education,5,Data,Q25_21,Q27_18,Economic opportunity and security,   Bachelor's degree or higher,8%,1%,14%,28%,63%,10%,1%,19%,2%,1%,25%,2%,5%,11%,233,,,,
2938,Closed End,Economic opportunity and security,Q27_21,Household income,1,Header,Q25_21,Q27_18,Economic opportunity and security,Results by household income:,,,,,,,,,,,,,,,,,,,
2939,Closed End,Economic opportunity and security,Q27_21,Household income,2,Data,Q25_21,Q27_18,Economic opportunity and security,   "Less than $20,000",38%,9%,11%,45%,39%,5%,1%,19%,13%,9%,7%,6%,44%,4%,162,,,,
2940,Closed End,Economic opportunity and security,Q27_21,Household income,3,Data,Q25_21,Q27_18,Economic opportunity and security,   "$20,000 to $39,999",34%,5%,26%,52%,38%,18%,5%,25%,6%,1%,7%,7%,18%,3%,121,,,,
2941,Closed End,Economic opportunity and security,Q27_21,Household income,4,Data,Q25_21,Q27_18,Economic opportunity and security,   "$40,000 to $59,999",9%,1%,39%,73%,46%,6%,2%,9%,5%,4%,19%,4%,5%,7%,71,,,,
2942,Closed End,Economic opportunity and security,Q27_21,Household income,5,Data,Q25_21,Q27_18,Economic opportunity and security,   "$60,000 to $79,999",5%,0%,29%,31%,60%,17%,0%,7%,0%,0%,16%,1%,4%,15%,47,,,,
2943,Closed End,Economic opportunity and security,Q27_21,Household income,6,Data,Q25_21,Q27_18,Economic opportunity and security,   "$80,000 to $99,999",5%,0%,6%,23%,76%,9%,5%,6%,5%,0%,7%,0%,24%,4%,32,,,,
2944,Closed End,Economic opportunity and security,Q27_21,Household income,7,Data,Q25_21,Q27_18,Economic opportunity and security,   "$100,000 to $149,999",8%,0%,13%,15%,57%,0%,0%,12%,2%,0%,16%,1%,4%,15%,31,,,,
2945,Closed End,Economic opportunity and security,Q27_21,Household income,8,Data,Q25_21,Q27_18,Economic opportunity and security,   "$150,000 or more",--,--,--,--,--,--,--,--,--,--,--,--,--,--,18,,,,
2946,Closed End,Economic opportunity and security,Q27_21,Housing status,1,Header,Q25_21,Q27_18,Economic opportunity and security,Results by housing status:,,,,,,,,,,,,,,,,,,,
2947,Closed End,Economic opportunity and security,Q27_21,Housing status,2,Data,Q25_21,Q27_18,Economic opportunity and security,   Owner,13%,<.5%,27%,39%,52%,9%,2%,7%,3%,1%,24%,1%,8%,9%,212,,,,
2948,Closed End,Economic opportunity and security,Q27_21,Housing status,3,Data,Q25_21,Q27_18,Economic opportunity and security,   Renter,25%,8%,18%,46%,46%,11%,4%,26%,9%,6%,10%,10%,27%,4%,304,,,,
2949,Closed End,Economic opportunity and security,Q27_21,Housing status,4,Data,Q25_21,Q27_18,Economic opportunity and security,   "Lives with family or friends, homeless, or some other arrangement",18%,<.5%,11%,18%,42%,3%,1%,20%,7%,10%,2%,15%,22%,5%,26,,,,
2950,Closed End,Economic opportunity and security,Q27_21,Home language,1,Header,Q25_21,Q27_18,Economic opportunity and security,Results by home language:,,,,,,,,,,,,,,,,,,,
2951,Closed End,Economic opportunity and security,Q27_21,Home language,2,Data,Q25_21,Q27_18,Economic opportunity and security,   English only,19%,3%,24%,37%,47%,8%,1%,17%,6%,4%,17%,5%,19%,7%,411,,,,
2952,Closed End,Economic opportunity and security,Q27_21,Home language,3,Data,Q25_21,Q27_18,Economic opportunity and security,   English plus another language,18%,5%,24%,59%,59%,17%,2%,12%,1%,2%,6%,5%,5%,10%,84,,,,
2953,Closed End,Economic opportunity and security,Q27_21,Home language,4,Data,Q25_21,Q27_18,Economic opportunity and security,   Another language only,15%,6%,15%,49%,42%,10%,20%,11%,10%,0%,36%,5%,11%,<.5%,32,,,,
2954,Closed End,Economic opportunity and security,Q27_21,Race / ethnicity,1,Header,Q25_21,Q27_18,Economic opportunity and security,Results by race/ethnicity:,,,,,,,,,,,,,,,,,,,
2955,Closed End,Economic opportunity and security,Q27_21,Race / ethnicity,2,Data,Q25_21,Q27_18,Economic opportunity and security,   BIPOC,30%,7%,24%,55%,50%,13%,6%,17%,6%,5%,13%,10%,13%,3%,227,,,,
2956,Closed End,Economic opportunity and security,Q27_21,Race / ethnicity,3,Data,Q25_21,Q27_18,Economic opportunity and security,      "American Indian, Native American, or Alaska Native",41%,9%,26%,31%,47%,2%,0%,15%,2%,1%,11%,39%,11%,2%,31,,,,
2957,Closed End,Economic opportunity and security,Q27_21,Race / ethnicity,4,Data,Q25_21,Q27_18,Economic opportunity and security,      Asian American or Asian,21%,7%,23%,66%,56%,14%,6%,15%,4%,2%,14%,5%,3%,4%,73,,,,
2958,Closed End,Economic opportunity and security,Q27_21,Race / ethnicity,5,Data,Q25_21,Q27_18,Economic opportunity and security,      "Black, African American, or African",42%,13%,15%,43%,38%,5%,3%,21%,9%,8%,17%,18%,29%,2%,106,,,,
2959,Closed End,Economic opportunity and security,Q27_21,Race / ethnicity,6,Data,Q25_21,Q27_18,Economic opportunity and security,      Latino/a or Hispanic,36%,2%,36%,51%,54%,27%,10%,14%,9%,7%,3%,3%,15%,1%,34,,,,
2960,Closed End,Economic opportunity and security,Q27_21,Race / ethnicity,7,Data,Q25_21,Q27_18,Economic opportunity and security,   White or Caucasian alone,12%,1%,24%,36%,50%,8%,1%,15%,5%,2%,18%,2%,17%,8%,276,,,,
2982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2983,Closed End,Economic opportunity and security,Q26A_21,Title,1,Title,Q26A_21,,,26A. How worried are you that the COVID-19 pandemic will affect your economic well-being?,,,,,,,,,,,,,,,,,,,
2984,Closed End,Economic opportunity and security,Q26A_21,Column labels,1,Labels,Q26A_21,,,,Very worried,Fairly worried,Slightly worried,Not worried at all,Number of respondents (unweighted),,,,,,,,,,,,,,
2985,Closed End,Economic opportunity and security,Q26A_21,Region,1,Header,Q26A_21,,,Results by region:,,,,,,,,,,,,,,,,,,,
2986,Closed End,Economic opportunity and security,Q26A_21,Region,2,Data,Q26A_21,,,   East Metro overall,10%,19%,37%,35%,3065,,,,,,,,,,,,,,
