OrigRowNum,TableType,Topic,Question,TableSection,SectionOrder,RowType,TblCol_1,TblCol_2,TblCol_3,TblCol_4,TblCol_5,TblCol_6,TblCol_7,TblCol_8,TblCol_9,TblCol_10,TblCol_11,TblCol_12,TblCol_13,TblCol_14,TblCol_15,TblCol_16,TblCol_17,TblCol_18,TblCol_19,TblCol_20
3402,Closed End,Health,Q23_18,Race / ethnicity,5,Data,   Hispanic or Latinx,22%,78%,41,,,,,,,,,,,,,,,,
3403,Closed End,Health,Q23_18,Race / ethnicity,6,Data,   White or Caucasian,7%,93%,1693,,,,,,,,,,,,,,,,
3404,,Health,,,,,,,,,,,,,,,,,,,,,,,,
3405,Closed End,Health,Q24_18,Title,1,Title,Q24. Was there any time during the past 12 months when you waited longer than you wanted to or didn�t seek dental care for problems with your teeth or gums because you could not afford it?,,,,,,,,,,,,,,,,,,,
3406,Closed End,Health,Q24_18,Title,2,Labels,,Yes,No,Number of respondents (unweighted),,,,,,,,,,,,,,,,
3407,Closed End,Health,Q24_18,Region,1,Header,Results by region:,--,--,,,,,,,,,,,,,,,,,
3408,Closed End,Health,Q24_18,Region,2,Data,   East Metro overall,23%,77%,1943,,,,,,,,,,,,,,,,
3409,Closed End,Health,Q24_18,Region,3,Data,   Dakota County,22%,78%,443,,,,,,,,,,,,,,,,
3410,Closed End,Health,Q24_18,Region,4,Data,   Ramsey County (overall),25%,75%,975,,,,,,,,,,,,,,,,
3411,Closed End,Health,Q24_18,Region,5,Data,      City of Saint Paul,30%,70%,470,,,,,,,,,,,,,,,,
3412,Closed End,Health,Q24_18,Region,6,Data,      Suburban Ramsey County,17%,83%,505,,,,,,,,,,,,,,,,
3413,Closed End,Health,Q24_18,Region,7,Data,   Washington County,21%,79%,525,,,,,,,,,,,,,,,,
3414,Closed End,Health,Q24_18,Gender,1,Header,Results by gender:,--,--,,,,,,,,,,,,,,,,,
3415,Closed End,Health,Q24_18,Gender,2,Data,   Females,26%,74%,1257,,,,,,,,,,,,,,,,
3416,Closed End,Health,Q24_18,Gender,3,Data,   Males,20%,80%,635,,,,,,,,,,,,,,,,
3417,Closed End,Health,Q24_18,Age,1,Header,Results by age:,--,--,,,,,,,,,,,,,,,,,
3418,Closed End,Health,Q24_18,Age,2,Data,   18-34,24%,76%,286,,,,,,,,,,,,,,,,
3419,Closed End,Health,Q24_18,Age,3,Data,   35-44,26%,74%,273,,,,,,,,,,,,,,,,
3420,Closed End,Health,Q24_18,Age,4,Data,   45-54,23%,77%,300,,,,,,,,,,,,,,,,
3421,Closed End,Health,Q24_18,Age,5,Data,   55-64,25%,75%,424,,,,,,,,,,,,,,,,
3422,Closed End,Health,Q24_18,Age,6,Data,   65+,18%,82%,581,,,,,,,,,,,,,,,,
3423,Closed End,Health,Q24_18,Education,1,Header,Results by education level:,--,--,,,,,,,,,,,,,,,,,
3424,Closed End,Health,Q24_18,Education,2,Data,   "Less than HS diploma, no GED",31%,69%,21,,,,,,,,,,,,,,,,
3425,Closed End,Health,Q24_18,Education,3,Data,   HS diploma or GED,29%,71%,203,,,,,,,,,,,,,,,,
3426,Closed End,Health,Q24_18,Education,4,Data,   "Some college, trade school, or Associate degree",30%,70%,560,,,,,,,,,,,,,,,,
3427,Closed End,Health,Q24_18,Education,5,Data,   Bachelor's degree or higher,13%,87%,1107,,,,,,,,,,,,,,,,
3428,Closed End,Health,Q24_18,Household income,1,Header,Results by household income:,--,--,,,,,,,,,,,,,,,,,
3429,Closed End,Health,Q24_18,Household income,2,Data,   "Less than $20,000",44%,56%,139,,,,,,,,,,,,,,,,
3430,Closed End,Health,Q24_18,Household income,3,Data,   "$20,000 to $39,999",41%,59%,241,,,,,,,,,,,,,,,,
3431,Closed End,Health,Q24_18,Household income,4,Data,   "$40,000 to $59,999",37%,63%,254,,,,,,,,,,,,,,,,
3432,Closed End,Health,Q24_18,Household income,5,Data,   "$60,000 to $79,999",28%,72%,242,,,,,,,,,,,,,,,,
3433,Closed End,Health,Q24_18,Household income,6,Data,   "$80,000 to $99,999",12%,88%,214,,,,,,,,,,,,,,,,
3434,Closed End,Health,Q24_18,Household income,7,Data,   "$100,000 to $149,999",8%,92%,311,,,,,,,,,,,,,,,,
3435,Closed End,Health,Q24_18,Household income,8,Data,   "$150,000 or more",3%,97%,230,,,,,,,,,,,,,,,,
3436,Closed End,Health,Q24_18,Housing status,1,Header,Results by housing status:,--,--,,,,,,,,,,,,,,,,,
3437,Closed End,Health,Q24_18,Housing status,2,Data,   Owner,17%,83%,1509,,,,,,,,,,,,,,,,
3438,Closed End,Health,Q24_18,Housing status,3,Data,   Renter,39%,61%,400,,,,,,,,,,,,,,,,
3439,Closed End,Health,Q24_18,Housing status,4,Data,   "Lives with family or friends, homeless, or some other arrangement",24%,76%,30,,,,,,,,,,,,,,,,
3440,Closed End,Health,Q24_18,Home language,1,Header,Results by home language:,--,--,,,,,,,,,,,,,,,,,
3441,Closed End,Health,Q24_18,Home language,2,Data,   English only,22%,78%,1781,,,,,,,,,,,,,,,,
3442,Closed End,Health,Q24_18,Home language,3,Data,   Engish plus another language,30%,70%,96,,,,,,,,,,,,,,,,
3443,Closed End,Health,Q24_18,Home language,4,Data,   Another language only,29%,71%,36,,,,,,,,,,,,,,,,
3444,Closed End,Health,Q24_18,Race / ethnicity,1,Header,Results by race/ethnicity:,--,--,,,,,,,,,,,,,,,,,
3445,Closed End,Health,Q24_18,Race / ethnicity,2,Data,   "American Indian, Native American, or Alaska Native",39%,61%,30,,,,,,,,,,,,,,,,
3446,Closed End,Health,Q24_18,Race / ethnicity,3,Data,   Asian American or Asian,28%,72%,79,,,,,,,,,,,,,,,,
3447,Closed End,Health,Q24_18,Race / ethnicity,4,Data,   "Black, African American, or African",29%,71%,67,,,,,,,,,,,,,,,,
3448,Closed End,Health,Q24_18,Race / ethnicity,5,Data,   Hispanic or Latinx,46%,54%,41,,,,,,,,,,,,,,,,
3449,Closed End,Health,Q24_18,Race / ethnicity,6,Data,   White or Caucasian,21%,79%,1696,,,,,,,,,,,,,,,,
3450,,Health,,,,,,,,,,,,,,,,,,,,,,,,
3451,,Health,,,,,2018 East Metro Pulse Survey,,,,,,,,,,,,,,,,,,,
3452,,Health,,,,,Economic  opportunity  and security,,,,,,,,,,,,,,,,,,,
3453,,Health,,,,,,,,,,,,,,,,,,,,,,,,
3454,Closed End,Economic  opportunity  and security,Q25A_18,Title,1,Title,Q25A. Are you currently employed?,,,,,,,,,,,,,,,,,,,
3455,Closed End,Economic  opportunity  and security,Q25A_18,Title,2,Labels,,Yes,No,Number of respondents (unweighted),,,,,,,,,,,,,,,,
3456,Closed End,Economic  opportunity  and security,Q25A_18,Region,1,Header,Results by region:,--,--,,,,,,,,,,,,,,,,,
3457,Closed End,Economic  opportunity  and security,Q25A_18,Region,2,Data,   East Metro overall,72%,28%,1929,,,,,,,,,,,,,,,,
3458,Closed End,Economic  opportunity  and security,Q25A_18,Region,3,Data,   Dakota County,72%,28%,440,,,,,,,,,,,,,,,,
3459,Closed End,Economic  opportunity  and security,Q25A_18,Region,4,Data,   Ramsey County (overall),69%,31%,967,,,,,,,,,,,,,,,,
3460,Closed End,Economic  opportunity  and security,Q25A_18,Region,5,Data,      City of Saint Paul,69%,31%,468,,,,,,,,,,,,,,,,
3461,Closed End,Economic  opportunity  and security,Q25A_18,Region,6,Data,      Suburban Ramsey County,68%,32%,499,,,,,,,,,,,,,,,,
3462,Closed End,Economic  opportunity  and security,Q25A_18,Region,7,Data,   Washington County,76%,24%,522,,,,,,,,,,,,,,,,
3463,Closed End,Economic  opportunity  and security,Q25A_18,Gender,1,Header,Results by gender:,--,--,,,,,,,,,,,,,,,,,
3464,Closed End,Economic  opportunity  and security,Q25A_18,Gender,2,Data,   Females,67%,33%,1246,,,,,,,,,,,,,,,,
3465,Closed End,Economic  opportunity  and security,Q25A_18,Gender,3,Data,   Males,77%,23%,632,,,,,,,,,,,,,,,,
3466,Closed End,Economic  opportunity  and security,Q25A_18,Age,1,Header,Results by age:,--,--,,,,,,,,,,,,,,,,,
3467,Closed End,Economic  opportunity  and security,Q25A_18,Age,2,Data,   18-34,88%,12%,285,,,,,,,,,,,,,,,,
3468,Closed End,Economic  opportunity  and security,Q25A_18,Age,3,Data,   35-44,86%,14%,272,,,,,,,,,,,,,,,,
3469,Closed End,Economic  opportunity  and security,Q25A_18,Age,4,Data,   45-54,88%,12%,298,,,,,,,,,,,,,,,,
3470,Closed End,Economic  opportunity  and security,Q25A_18,Age,5,Data,   55-64,67%,33%,423,,,,,,,,,,,,,,,,
3471,Closed End,Economic  opportunity  and security,Q25A_18,Age,6,Data,   65+,16%,84%,575,,,,,,,,,,,,,,,,
3472,Closed End,Economic  opportunity  and security,Q25A_18,Education,1,Header,Results by education level:,--,--,,,,,,,,,,,,,,,,,
3473,Closed End,Economic  opportunity  and security,Q25A_18,Education,2,Data,   "Less than HS diploma, no GED",34%,66%,20,,,,,,,,,,,,,,,,
3474,Closed End,Economic  opportunity  and security,Q25A_18,Education,3,Data,   HS diploma or GED,56%,44%,200,,,,,,,,,,,,,,,,
3475,Closed End,Economic  opportunity  and security,Q25A_18,Education,4,Data,   "Some college, trade school, or Associate degree",74%,26%,555,,,,,,,,,,,,,,,,
3476,Closed End,Economic  opportunity  and security,Q25A_18,Education,5,Data,   Bachelor's degree or higher,84%,16%,1102,,,,,,,,,,,,,,,,
3477,Closed End,Economic  opportunity  and security,Q25A_18,Household income,1,Header,Results by household income:,--,--,,,,,,,,,,,,,,,,,
3478,Closed End,Economic  opportunity  and security,Q25A_18,Household income,2,Data,   "Less than $20,000",38%,62%,136,,,,,,,,,,,,,,,,
3479,Closed End,Economic  opportunity  and security,Q25A_18,Household income,3,Data,   "$20,000 to $39,999",68%,32%,236,,,,,,,,,,,,,,,,
3480,Closed End,Economic  opportunity  and security,Q25A_18,Household income,4,Data,   "$40,000 to $59,999",71%,29%,253,,,,,,,,,,,,,,,,
3481,Closed End,Economic  opportunity  and security,Q25A_18,Household income,5,Data,   "$60,000 to $79,999",75%,25%,239,,,,,,,,,,,,,,,,
3482,Closed End,Economic  opportunity  and security,Q25A_18,Household income,6,Data,   "$80,000 to $99,999",81%,19%,214,,,,,,,,,,,,,,,,
3483,Closed End,Economic  opportunity  and security,Q25A_18,Household income,7,Data,   "$100,000 to $149,999",88%,12%,310,,,,,,,,,,,,,,,,
3484,Closed End,Economic  opportunity  and security,Q25A_18,Household income,8,Data,   "$150,000 or more",85%,15%,230,,,,,,,,,,,,,,,,
3485,Closed End,Economic  opportunity  and security,Q25A_18,Housing status,1,Header,Results by housing status:,--,--,,,,,,,,,,,,,,,,,
3486,Closed End,Economic  opportunity  and security,Q25A_18,Housing status,2,Data,   Owner,73%,27%,1499,,,,,,,,,,,,,,,,
3487,Closed End,Economic  opportunity  and security,Q25A_18,Housing status,3,Data,   Renter,69%,31%,396,,,,,,,,,,,,,,,,
3488,Closed End,Economic  opportunity  and security,Q25A_18,Housing status,4,Data,   "Lives with family or friends, homeless, or some other arrangement",55%,45%,30,,,,,,,,,,,,,,,,
3489,Closed End,Economic  opportunity  and security,Q25A_18,Home language,1,Header,Results by home language:,--,--,,,,,,,,,,,,,,,,,
3490,Closed End,Economic  opportunity  and security,Q25A_18,Home language,2,Data,   English only,71%,29%,1768,,,,,,,,,,,,,,,,
3491,Closed End,Economic  opportunity  and security,Q25A_18,Home language,3,Data,   Engish plus another language,77%,23%,95,,,,,,,,,,,,,,,,
3492,Closed End,Economic  opportunity  and security,Q25A_18,Home language,4,Data,   Another language only,70%,30%,36,,,,,,,,,,,,,,,,
3493,Closed End,Economic  opportunity  and security,Q25A_18,Race / ethnicity,1,Header,Results by race/ethnicity:,--,--,,,,,,,,,,,,,,,,,
3494,Closed End,Economic  opportunity  and security,Q25A_18,Race / ethnicity,2,Data,   "American Indian, Native American, or Alaska Native",78%,22%,29,,,,,,,,,,,,,,,,
3495,Closed End,Economic  opportunity  and security,Q25A_18,Race / ethnicity,3,Data,   Asian American or Asian,86%,14%,79,,,,,,,,,,,,,,,,
3496,Closed End,Economic  opportunity  and security,Q25A_18,Race / ethnicity,4,Data,   "Black, African American, or African",43%,57%,65,,,,,,,,,,,,,,,,
3497,Closed End,Economic  opportunity  and security,Q25A_18,Race / ethnicity,5,Data,   Hispanic or Latinx,67%,33%,40,,,,,,,,,,,,,,,,
3498,Closed End,Economic  opportunity  and security,Q25A_18,Race / ethnicity,6,Data,   White or Caucasian,72%,28%,1685,,,,,,,,,,,,,,,,
3499,,Economic  opportunity  and security,,,,,,,,,,,,,,,,,,,,,,,,
3500,Closed End,Economic  opportunity  and security,Q25B_18,Title,1,Title,"If currently employed, are you...",,,,,,,,,,,,,,,,,,,
3501,Closed End,Economic  opportunity  and security,Q25B_18,Title,2,Labels,,Working full-time in one job (35+ hours per week),Working full-time in two or more jobs (35+ hours per week total),Working part-time (less than 35 hours per week total),Number of respondents (unweighted),,,,,,,,,,,,,,,
3502,Closed End,Economic  opportunity  and security,Q25B_18,Region,1,Header,Results by region:,--,--,--,,,,,,,,,,,,,,,,
3503,Closed End,Economic  opportunity  and security,Q25B_18,Region,2,Data,   East Metro overall,79%,5%,16%,1205,,,,,,,,,,,,,,,
3504,Closed End,Economic  opportunity  and security,Q25B_18,Region,3,Data,   Dakota County,85%,3%,12%,262,,,,,,,,,,,,,,,
3505,Closed End,Economic  opportunity  and security,Q25B_18,Region,4,Data,   Ramsey County (overall),75%,6%,19%,607,,,,,,,,,,,,,,,
3506,Closed End,Economic  opportunity  and security,Q25B_18,Region,5,Data,      City of Saint Paul,76%,6%,18%,314,,,,,,,,,,,,,,,
3507,Closed End,Economic  opportunity  and security,Q25B_18,Region,6,Data,      Suburban Ramsey County,74%,6%,20%,293,,,,,,,,,,,,,,,
3508,Closed End,Economic  opportunity  and security,Q25B_18,Region,7,Data,   Washington County,77%,5%,18%,336,,,,,,,,,,,,,,,
3509,Closed End,Economic  opportunity  and security,Q25B_18,Gender,1,Header,Results by gender:,--,--,--,,,,,,,,,,,,,,,,
3510,Closed End,Economic  opportunity  and security,Q25B_18,Gender,2,Data,   Females,71%,6%,23%,797,,,,,,,,,,,,,,,
3511,Closed End,Economic  opportunity  and security,Q25B_18,Gender,3,Data,   Males,88%,3%,10%,374,,,,,,,,,,,,,,,
3512,Closed End,Economic  opportunity  and security,Q25B_18,Age,1,Header,Results by age:,--,--,--,,,,,,,,,,,,,,,,
3513,Closed End,Economic  opportunity  and security,Q25B_18,Age,2,Data,   18-34,85%,5%,10%,257,,,,,,,,,,,,,,,
3514,Closed End,Economic  opportunity  and security,Q25B_18,Age,3,Data,   35-44,80%,5%,15%,240,,,,,,,,,,,,,,,
3515,Closed End,Economic  opportunity  and security,Q25B_18,Age,4,Data,   45-54,82%,3%,15%,266,,,,,,,,,,,,,,,
3516,Closed End,Economic  opportunity  and security,Q25B_18,Age,5,Data,   55-64,73%,5%,22%,306,,,,,,,,,,,,,,,
3517,Closed End,Economic  opportunity  and security,Q25B_18,Age,6,Data,   65+,39%,3%,58%,103,,,,,,,,,,,,,,,
3518,Closed End,Economic  opportunity  and security,Q25B_18,Education,1,Header,Results by education level:,--,--,--,,,,,,,,,,,,,,,,
3519,Closed End,Economic  opportunity  and security,Q25B_18,Education,2,Data,   "Less than HS diploma, no GED",--,--,--,4,,,,,,,,,,,,,,,
3520,Closed End,Economic  opportunity  and security,Q25B_18,Education,3,Data,   HS diploma or GED,80%,3%,17%,79,,,,,,,,,,,,,,,
3521,Closed End,Economic  opportunity  and security,Q25B_18,Education,4,Data,   "Some college, trade school, or Associate degree",73%,7%,20%,317,,,,,,,,,,,,,,,
3522,Closed End,Economic  opportunity  and security,Q25B_18,Education,5,Data,   Bachelor's degree or higher,82%,4%,14%,780,,,,,,,,,,,,,,,
3523,Closed End,Economic  opportunity  and security,Q25B_18,Household income,1,Header,Results by household income:,--,--,--,,,,,,,,,,,,,,,,
3524,Closed End,Economic  opportunity  and security,Q25B_18,Household income,2,Data,   "Less than $20,000",61%,3%,36%,42,,,,,,,,,,,,,,,
3525,Closed End,Economic  opportunity  and security,Q25B_18,Household income,3,Data,   "$20,000 to $39,999",64%,6%,30%,128,,,,,,,,,,,,,,,
3526,Closed End,Economic  opportunity  and security,Q25B_18,Household income,4,Data,   "$40,000 to $59,999",73%,9%,18%,151,,,,,,,,,,,,,,,
3527,Closed End,Economic  opportunity  and security,Q25B_18,Household income,5,Data,   "$60,000 to $79,999",86%,6%,8%,148,,,,,,,,,,,,,,,
3528,Closed End,Economic  opportunity  and security,Q25B_18,Household income,6,Data,   "$80,000 to $99,999",83%,2%,15%,159,,,,,,,,,,,,,,,
3529,Closed End,Economic  opportunity  and security,Q25B_18,Household income,7,Data,   "$100,000 to $149,999",87%,4%,8%,243,,,,,,,,,,,,,,,
3530,Closed End,Economic  opportunity  and security,Q25B_18,Household income,8,Data,   "$150,000 or more",88%,2%,10%,181,,,,,,,,,,,,,,,
3531,Closed End,Economic  opportunity  and security,Q25B_18,Housing status,1,Header,Results by housing status:,--,--,--,,,,,,,,,,,,,,,,
3532,Closed End,Economic  opportunity  and security,Q25B_18,Housing status,2,Data,   Owner,81%,3%,16%,942,,,,,,,,,,,,,,,
3533,Closed End,Economic  opportunity  and security,Q25B_18,Housing status,3,Data,   Renter,74%,8%,18%,247,,,,,,,,,,,,,,,
3534,Closed End,Economic  opportunity  and security,Q25B_18,Housing status,4,Data,   "Lives with family or friends, homeless, or some other arrangement",--,--,--,16,,,,,,,,,,,,,,,
3535,Closed End,Economic  opportunity  and security,Q25B_18,Home language,1,Header,Results by home language:,--,--,--,,,,,,,,,,,,,,,,
3536,Closed End,Economic  opportunity  and security,Q25B_18,Home language,2,Data,   English only,78%,5%,17%,1089,,,,,,,,,,,,,,,
3537,Closed End,Economic  opportunity  and security,Q25B_18,Home language,3,Data,   Engish plus another language,89%,3%,9%,73,,,,,,,,,,,,,,,
3538,Closed End,Economic  opportunity  and security,Q25B_18,Home language,4,Data,   Another language only,79%,--,21%,24,,,,,,,,,,,,,,,
3539,Closed End,Economic  opportunity  and security,Q25B_18,Race / ethnicity,1,Header,Results by race/ethnicity:,--,--,--,,,,,,,,,,,,,,,,
3540,Closed End,Economic  opportunity  and security,Q25B_18,Race / ethnicity,2,Data,   "American Indian, Native American, or Alaska Native",79%,1%,20%,20,,,,,,,,,,,,,,,
3541,Closed End,Economic  opportunity  and security,Q25B_18,Race / ethnicity,3,Data,   Asian American or Asian,83%,1%,16%,62,,,,,,,,,,,,,,,
3542,Closed End,Economic  opportunity  and security,Q25B_18,Race / ethnicity,4,Data,   "Black, African American, or African",65%,11%,25%,30,,,,,,,,,,,,,,,
3543,Closed End,Economic  opportunity  and security,Q25B_18,Race / ethnicity,5,Data,   Hispanic or Latinx,88%,--,12%,30,,,,,,,,,,,,,,,
3544,Closed End,Economic  opportunity  and security,Q25B_18,Race / ethnicity,6,Data,   White or Caucasian,79%,5%,16%,1040,,,,,,,,,,,,,,,
3545,,Economic  opportunity  and security,,,,,,,,,,,,,,,,,,,,,,,,
3546,Closed End,Economic  opportunity  and security,Q25C_18,Title,1,Title,"If not currently employed, are you...",,,,,,,,,,,,,,,,,,,
3547,Closed End,Economic  opportunity  and security,Q25C_18,Title,2,Labels,,Unemployed and looking for work,Retired,Disabled,Stay-at-home parent,Full-time student,Other,Number of respondents (unweighted),,,,,,,,,,,,
3548,Closed End,Economic  opportunity  and security,Q25C_18,Region,1,Header,Results by region:,--,--,--,--,--,--,,,,,,,,,,,,,
3549,Closed End,Economic  opportunity  and security,Q25C_18,Region,2,Data,   East Metro overall,5%,60%,17%,14%,2%,2%,703,,,,,,,,,,,,
3550,Closed End,Economic  opportunity  and security,Q25C_18,Region,3,Data,   Dakota County,2%,63%,14%,18%,--,2%,174,,,,,,,,,,,,
3551,Closed End,Economic  opportunity  and security,Q25C_18,Region,4,Data,   Ramsey County (overall),8%,53%,21%,13%,3%,2%,345,,,,,,,,,,,,
3552,Closed End,Economic  opportunity  and security,Q25C_18,Region,5,Data,      City of Saint Paul,10%,44%,26%,18%,2%,1%,145,,,,,,,,,,,,
3553,Closed End,Economic  opportunity  and security,Q25C_18,Region,6,Data,      Suburban Ramsey County,5%,64%,15%,7%,5%,3%,200,,,,,,,,,,,,
3554,Closed End,Economic  opportunity  and security,Q25C_18,Region,7,Data,   Washington County,3%,74%,10%,12%,--,1%,184,,,,,,,,,,,,
3555,Closed End,Economic  opportunity  and security,Q25C_18,Gender,1,Header,Results by gender:,--,--,--,--,--,--,,,,,,,,,,,,,
3556,Closed End,Economic  opportunity  and security,Q25C_18,Gender,2,Data,   Females,6%,52%,14%,23%,2%,3%,432,,,,,,,,,,,,
3557,Closed End,Economic  opportunity  and security,Q25C_18,Gender,3,Data,   Males,4%,72%,22%,1%,<.5%,1%,254,,,,,,,,,,,,
3558,Closed End,Economic  opportunity  and security,Q25C_18,Age,1,Header,Results by age:,--,--,--,--,--,--,,,,,,,,,,,,,
3559,Closed End,Economic  opportunity  and security,Q25C_18,Age,2,Data,   18-34,18%,2%,17%,51%,12%,--,27,,,,,,,,,,,,
3560,Closed End,Economic  opportunity  and security,Q25C_18,Age,3,Data,   35-44,17%,--,22%,61%,--,--,31,,,,,,,,,,,,
3561,Closed End,Economic  opportunity  and security,Q25C_18,Age,4,Data,   45-54,3%,1%,75%,16%,--,4%,29,,,,,,,,,,,,
3562,Closed End,Economic  opportunity  and security,Q25C_18,Age,5,Data,   55-64,6%,61%,24%,5%,--,5%,113,,,,,,,,,,,,
3563,Closed End,Economic  opportunity  and security,Q25C_18,Age,6,Data,   65+,--,94%,4%,<.5%,--,1%,464,,,,,,,,,,,,
3564,Closed End,Economic  opportunity  and security,Q25C_18,Education,1,Header,Results by education level:,--,--,--,--,--,--,,,,,,,,,,,,,
3565,Closed End,Economic  opportunity  and security,Q25C_18,Education,2,Data,   "Less than HS diploma, no GED",--,--,--,--,--,--,16,,,,,,,,,,,,
3566,Closed End,Economic  opportunity  and security,Q25C_18,Education,3,Data,   HS diploma or GED,6%,62%,18%,10%,3%,1%,116,,,,,,,,,,,,
3567,Closed End,Economic  opportunity  and security,Q25C_18,Education,4,Data,   "Some college, trade school, or Associate degree",3%,65%,21%,7%,2%,2%,231,,,,,,,,,,,,
3568,Closed End,Economic  opportunity  and security,Q25C_18,Education,5,Data,   Bachelor's degree or higher,3%,63%,6%,25%,1%,3%,313,,,,,,,,,,,,
3569,Closed End,Economic  opportunity  and security,Q25C_18,Household income,1,Header,Results by household income:,--,--,--,--,--,--,,,,,,,,,,,,,
3570,Closed End,Economic  opportunity  and security,Q25C_18,Household income,2,Data,   "Less than $20,000",15%,28%,53%,3%,--,1%,85,,,,,,,,,,,,
3571,Closed End,Economic  opportunity  and security,Q25C_18,Household income,3,Data,   "$20,000 to $39,999",2%,71%,18%,8%,--,2%,106,,,,,,,,,,,,
3572,Closed End,Economic  opportunity  and security,Q25C_18,Household income,4,Data,   "$40,000 to $59,999",1%,68%,4%,26%,--,1%,101,,,,,,,,,,,,
3573,Closed End,Economic  opportunity  and security,Q25C_18,Household income,5,Data,   "$60,000 to $79,999",3%,61%,9%,26%,--,1%,89,,,,,,,,,,,,
3574,Closed End,Economic  opportunity  and security,Q25C_18,Household income,6,Data,   "$80,000 to $99,999",1%,66%,--,32%,--,--,54,,,,,,,,,,,,
3575,Closed End,Economic  opportunity  and security,Q25C_18,Household income,7,Data,   "$100,000 to $149,999",14%,63%,8%,14%,--,2%,65,,,,,,,,,,,,
3576,Closed End,Economic  opportunity  and security,Q25C_18,Household income,8,Data,   "$150,000 or more",--,52%,--,17%,28%,2%,48,,,,,,,,,,,,
3577,Closed End,Economic  opportunity  and security,Q25C_18,Housing status,1,Header,Results by housing status:,--,--,--,--,--,--,,,,,,,,,,,,,
3578,Closed End,Economic  opportunity  and security,Q25C_18,Housing status,2,Data,   Owner,3%,76%,5%,13%,2%,2%,548,,,,,,,,,,,,
3579,Closed End,Economic  opportunity  and security,Q25C_18,Housing status,3,Data,   Renter,10%,29%,45%,14%,1%,2%,137,,,,,,,,,,,,
3580,Closed End,Economic  opportunity  and security,Q25C_18,Housing status,4,Data,   "Lives with family or friends, homeless, or some other arrangement",--,--,--,--,--,--,14,,,,,,,,,,,,
3581,Closed End,Economic  opportunity  and security,Q25C_18,Home language,1,Header,Results by home language:,--,--,--,--,--,--,,,,,,,,,,,,,
3582,Closed End,Economic  opportunity  and security,Q25C_18,Home language,2,Data,   English only,6%,64%,17%,11%,1%,2%,660,,,,,,,,,,,,
3583,Closed End,Economic  opportunity  and security,Q25C_18,Home language,3,Data,   Engish plus another language,--,28%,23%,34%,14%,<.5%,21,,,,,,,,,,,,
3584,Closed End,Economic  opportunity  and security,Q25C_18,Home language,4,Data,   Another language only,--,--,--,--,--,--,11,,,,,,,,,,,,
3585,Closed End,Economic  opportunity  and security,Q25C_18,Race / ethnicity,1,Header,Results by race/ethnicity:,--,--,--,--,--,--,,,,,,,,,,,,,
3586,Closed End,Economic  opportunity  and security,Q25C_18,Race / ethnicity,2,Data,   "American Indian, Native American, or Alaska Native",--,--,--,--,--,--,8,,,,,,,,,,,,
3587,Closed End,Economic  opportunity  and security,Q25C_18,Race / ethnicity,3,Data,   Asian American or Asian,--,--,--,--,--,--,16,,,,,,,,,,,,
3588,Closed End,Economic  opportunity  and security,Q25C_18,Race / ethnicity,4,Data,   "Black, African American, or African",22%,16%,59%,3%,--,--,28,,,,,,,,,,,,
3589,Closed End,Economic  opportunity  and security,Q25C_18,Race / ethnicity,5,Data,   Hispanic or Latinx,--,--,--,--,--,--,9,,,,,,,,,,,,
3590,Closed End,Economic  opportunity  and security,Q25C_18,Race / ethnicity,6,Data,   White or Caucasian,5%,69%,12%,11%,2%,2%,632,,,,,,,,,,,,
3591,,Economic  opportunity  and security,,,,,,,,,,,,,,,,,,,,,,,,
3592,Closed End,Economic  opportunity  and security,Q26_18,Title,1,Title,"Right now, is there anything that is making it hard for you to get a job or find a better job?",,,,,,,,,,,,,,,,,,,
3593,Closed End,Economic  opportunity  and security,Q26_18,Title,2,Labels,,Yes,No,Number of respondents (unweighted),,,,,,,,,,,,,,,,
3594,Closed End,Economic  opportunity  and security,Q26_18,Region,1,Header,Results by region:,--,--,,,,,,,,,,,,,,,,,
3595,Closed End,Economic  opportunity  and security,Q26_18,Region,2,Data,   East Metro overall,22%,78%,1927,,,,,,,,,,,,,,,,
3596,Closed End,Economic  opportunity  and security,Q26_18,Region,3,Data,   Dakota County,20%,80%,437,,,,,,,,,,,,,,,,
3597,Closed End,Economic  opportunity  and security,Q26_18,Region,4,Data,   Ramsey County (overall),24%,76%,967,,,,,,,,,,,,,,,,
3598,Closed End,Economic  opportunity  and security,Q26_18,Region,5,Data,      City of Saint Paul,27%,73%,469,,,,,,,,,,,,,,,,
3599,Closed End,Economic  opportunity  and security,Q26_18,Region,6,Data,      Suburban Ramsey County,20%,80%,498,,,,,,,,,,,,,,,,
3600,Closed End,Economic  opportunity  and security,Q26_18,Region,7,Data,   Washington County,19%,81%,523,,,,,,,,,,,,,,,,
3601,Closed End,Economic  opportunity  and security,Q26_18,Gender,1,Header,Results by gender:,--,--,,,,,,,,,,,,,,,,,
3602,Closed End,Economic  opportunity  and security,Q26_18,Gender,2,Data,   Females,24%,76%,1245,,,,,,,,,,,,,,,,
3603,Closed End,Economic  opportunity  and security,Q26_18,Gender,3,Data,   Males,19%,81%,633,,,,,,,,,,,,,,,,
3604,Closed End,Economic  opportunity  and security,Q26_18,Age,1,Header,Results by age:,--,--,,,,,,,,,,,,,,,,,
3605,Closed End,Economic  opportunity  and security,Q26_18,Age,2,Data,   18-34,25%,75%,285,,,,,,,,,,,,,,,,
